carat,cut,color,clarity,depth,table,price
0.02079002079002079,4,7,2,0.5388888888888888,0.27450980392156854,6.353
0.1683991683991684,5,6,6,0.5472222222222223,0.23529411764705888,9.183
0.10810810810810811,5,5,4,0.5222222222222221,0.2941176470588234,7.983
0.182952182952183,3,4,2,0.5611111111111111,0.2549019607843137,8.371
0.033264033264033266,4,4,5,0.536111111111111,0.2941176470588234,6.588
0.06860706860706861,5,5,5,0.5111111111111111,0.2549019607843137,7.496
0.3201663201663202,4,3,3,0.5305555555555554,0.2941176470588234,8.979
0.02702702702702703,5,6,6,0.4722222222222221,0.23529411764705888,6.877
0.02494802494802495,3,6,4,0.5527777777777776,0.23529411764705888,6.554
0.01455301455301456,5,6,6,0.5222222222222221,0.2549019607843137,6.683
0.0893970893970894,5,7,3,0.5027777777777778,0.23529411764705888,7.484
0.02286902286902287,5,4,4,0.5111111111111111,0.23529411764705888,6.353
0.06860706860706861,5,5,5,0.5277777777777777,0.21568627450980382,7.554
0.10395010395010396,3,3,5,0.5333333333333334,0.2549019607843137,7.671
0.11226611226611227,3,3,3,0.5388888888888888,0.27450980392156854,7.794
0.22661122661122662,3,2,4,0.5499999999999998,0.27450980392156854,8.727
0.10602910602910603,5,7,3,0.5277777777777777,0.21568627450980382,8.087
0.02494802494802495,5,4,3,0.536111111111111,0.2549019607843137,6.23
0.06652806652806653,5,4,5,0.5166666666666666,0.23529411764705888,7.451
0.04573804573804574,4,4,7,0.4527777777777777,0.2941176470588234,7.072
0.1787941787941788,4,6,2,0.5194444444444444,0.3529411764705881,8.445
0.07900207900207899,5,2,7,0.536111111111111,0.17647058823529416,7.365
0.2702702702702703,1,2,3,0.38055555555555554,0.37254901960784315,8.976
0.02079002079002079,5,4,8,0.5277777777777777,0.21568627450980382,6.76
0.16632016632016633,1,5,5,0.6194444444444442,0.23529411764705888,8.671
0.06444906444906445,5,5,7,0.5111111111111111,0.23529411764705888,7.911
0.2079002079002079,4,4,4,0.4222222222222223,0.2941176470588234,8.961
0.04365904365904366,5,4,8,0.536111111111111,0.21568627450980382,7.266
0.04573804573804574,5,6,5,0.5166666666666666,0.2549019607843137,7.074
0.1912681912681913,4,3,2,0.5249999999999999,0.27450980392156854,8.456
0.21205821205821207,4,2,3,0.5305555555555554,0.2941176470588234,8.606
0.062370062370062374,3,3,3,0.497222222222222,0.33333333333333326,7.033
0.02286902286902287,4,4,3,0.5388888888888888,0.21568627450980382,6.385
0.07484407484407486,5,7,4,0.5138888888888888,0.2549019607843137,7.633
0.02494802494802495,5,3,2,0.5249999999999999,0.196078431372549,6.04
0.10810810810810811,5,1,3,0.5194444444444444,0.23529411764705888,7.525
0.182952182952183,3,3,3,0.5666666666666667,0.2549019607843137,8.573
0.02286902286902287,2,7,3,0.5583333333333333,0.2549019607843137,6.347
0.02702702702702703,5,4,8,0.5249999999999999,0.21568627450980382,6.852
0.10395010395010396,5,6,2,0.5277777777777777,0.23529411764705888,7.631
0.4844074844074844,4,3,2,0.5027777777777778,0.2549019607843137,9.626
0.16632016632016633,2,3,3,0.6083333333333334,0.23529411764705888,8.361
0.035343035343035345,5,7,4,0.5083333333333331,0.23529411764705888,7.025
0.02079002079002079,5,6,7,0.5111111111111111,0.23529411764705888,6.797
0.31185031185031187,3,1,3,0.5249999999999999,0.2941176470588234,9.09
0.02494802494802495,5,2,4,0.5555555555555556,0.21568627450980382,6.356
0.0706860706860707,4,6,5,0.5472222222222223,0.3137254901960784,7.866
0.029106029106029108,5,4,5,0.48888888888888893,0.2549019607843137,6.579
0.21205821205821207,5,3,3,0.5249999999999999,0.21568627450980382,8.971
